gene,MitoPathways
DNAJB2,
HSPA1B,
DNAJB1,
MPP2,
MPP3,
MSH4,
NUBP1,
DRG1,
NFKB1,
NFKB2,
NFKBIA,
NFKBIE,
NOTCH4,
NVL,
PMS1,
EXOSC9,
PMS2,
MAP2K1,
MAP2K5,
MAP2K7,
PSD,
PSMC1,
PSMC2,
PSMC5,
RAD51,
RAD51B,
RDH5,
RECQL,
RFC2,
RFC3,
RFC4,
RFC5,
RNASEL,
SCD,
SLC7A1,
SLC18A1,
SLC18A2,
SLC18A3,
SLC22A2,
SPAST,
HSPA13,
STK3,
STK4,
ABCC8,
TARBP1,
TARBP2,
TP53BP2,
NPHS2,
DDX39B,
SLC7A5,
RUVBL1,
RDH16,
RFXANK,
TOP3B,
TRPA1,
SLC7A7,
SLC7A6,
DHRS3,
CYTH3,
CYTH2,
TRIP13,
SLC22A6,
SLC22A8,
RECQL5,
DDX23,
ABCG2,
VPS4B,
ABCG1,
SNCAIP,
ACAP1,
EIF4A3,
GIT2,
ABCC5,
FEM1B,
ARL4C,
DHRS9,
TXNDC9,
DDX39A,
SLC17A2,
ABCC4,
AGPAT1,
SPTLC1,
SLC17A3,
PPP1R13L,
CLP1,
METAP2,
DDX52,
DUS4L,
KATNA1,
SLC7A9,
DMC1,
DDX20,
EXOSC8,
DNAJC8,
ANKRD6,
SHANK2,
ANKRD28,
DNAJC16,
PSD3,
ARHGEF12,
ZDHHC17,
DICER1,
ABCA6,
TGDS,
ACAP2,
DDX58,
SLC7A11,
GSPT2,
PPP1R16B,
RAI14,
ARL5A,
ANKRD2,
GNL3,
CNNM4,
CNNM3,
CYTH4,
DIMT1,
ATAD2,
DDX25,
RDH8,
TXNDC11,
TMX2,
CRYL1,
TNNI3K,
ASB3,
HSD17B14,
HSPA14,
DDX47,
FKBP11,
ZCCHC17,
ASB4,
CPSF3,
STK26,
RIPK4,
ZDHHC13,
ANKRD16,
DDX49,
DDX56,
PPP1R12C,
RNF111,
ANKRD49,
ANKHD1,
CDKAL1,
DUS2,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications
LPCAT2,
INTS11,
FIGN,
DNAJC17,
DDX19A,
ABCF3,
DNAJA4,
FEM1A,
FLVCR2,
OSGEP,
TEX14,
ANKRD7,
DNAJC12,
EXOSC5,
FEM1C,
DUS3L,
ANKMY2,
KIDINS220,
MIB1,
DDX55,
ANKRA2,
MPP4,
BCORL1,
SLC17A9,
FIGNL1,
LHPP,
IFIH1,
ABCG4,
ABCG5,
NXN,
MFSD14A,
MTHFSD,
DDX50,
SPATA5L1,
DDX54,
DHX58,
QTRT2,
ANKRD55,
IQCA1,
EHMT1,
DNAJB14,
FOXRED2,
HSD3B7,
TNKS2,
AARSD1,
SLC2A10,
TMX1,
ANKRD13C,
KATNAL2,
NUDT12,
CTTNBP2,
KATNAL1,
ANKRD27,
TXNDC2,
PSD2,
SLF1,
SLC37A3,
ACBD6,
NFKBID,
SHANK3,
DNAJC14,
TANC1,
DNAJC5B,
ANKRD44,
FANK1,
HTRA3,
ABCC12,
SLC2A13,
SLC22A9,
ACAP3,
ANKRD22,
SDR9C7,
ANKS3,
SEPTIN12,
USH1G,
ANKRD13B,
GABPB2,
ANKRD54,
AASDH,
SVOPL,
ASB5,
ASB7,
ASB9,
ASB14,
ASB12,
MPP7,
CCT8L2,
DNAJB7,
SLC2A12,
RDH10,
ANKRD46,
SLC7A13,
TSTD2,
DGKH,
STOML3,
GIMAP7,
ANKRD24,
SDR16C5,
ANKRD23,
DHRS7C,
PLD6,Metabolism > Lipid metabolism > Cardiolipin synthesis | Mitochondrial dynamics and surveillance > Fusion
SPNS3,
DNAJC18,
ANKS6,
KDM1B,
EPHX4,
LCLAT1,
TXNDC8,
ANKK1,
ANKS4B,
ANKRD52,
DNAJC5G,
DDX51,
ESPNL,
ANKRD34B,
ABCB5,
ANKRD37,
ASB18,
FIGNL2,
NRARP,
DNAJC25,
AK6,
MSS51,
LOC729159,
IQSEC2,
GC,
IGF2R,
KRT13,
KRT17,
TRAPPC3,
GHRL,
GNAS,
GAPDHS,
TMEM50B,
TATDN1,
PM20D1,
ADCY3,
ADCY9,
AOX1,
ARNTL,
BNIP1,
MAPK14,
CTH,
CYP21A2,
DAPK3,
CFD,
EPHA2,
ELANE,
FGFR4,
NR5A1,
GALK1,
GP9,
MKNK2,
GRB7,
GSTT1,
GSTT2,
UBE2K,
NR4A1,
ISG20,
LTC4S,
MAP3K4,
MTR,
MYCN,
NFIL3,
PFAS,
PFDN4,
PPARA,
PPP2R3A,
PROC,
PEX5,
RABGGTA,
RAD17,
RGS2,
SH3GL3,
SHB,
SREBF1,
STAU1,
TLE2,
UCK2,
XRCC3,
MAPKAPK3,
YARS1,
EIF3I,
CRADD,
EIF2B5,
USP14,
USP10,
MINPP1,
CLOCK,
ECE2,
XYLB,
NR1H4,
NR1H3,
TRIM10,
STUB1,
CELF1,
STARD10,
SUPT16H,
SLCO2B1,
SEPHS2,
FBXO21,
KANK1,
SMG5,
ARIH1,
DCAF12,
RCHY1,
GEMIN5,
PHGDH,
EIF2AK1,
A1CF,
MLXIPL,
MARCHF2,
EEF1AKNMT,
NLE1,
WDR55,
TYW1,
IMP3,
RNF121,
PI4K2B,
PNO1,
DHX33,
RNPEPL1,
RANBP10,
USP28,
CTDSP1,
RHOU,
RRAGD,
ZDHHC6,
CUEDC2,
PANK3,
STEAP4,
CLIP4,
WDR26,
WDR83,
EFCAB7,
MCM8,
RERG,
MFSD4B,
SLC46A1,
ERMAP,
TRMT61A,
SLC18B1,
MIA2,
AFMID,
RBM45,
STARD4,
PHETA2,
BTNL9,
HIPK1,
TSPO2,
GEN1,
SLC35E2B,
PPP3CC,
ACTA1,
ANXA1,
SH3BGRL,
NPC2,
GNE,
KBTBD13,
GNAI1,
SI,
RPH3A,
VPS13A,
AMPH,
ARL3,
CALB2,
S100G,
CAMK2D,
CKM,
CYP2F1,
DAO,
FLOT2,
FMO5,
GNB1,
HPCA,
KIF5B,
LCP1,
MYH6,
MYH10,
MYO5A,
MYO6,
PGD,
RAN,
RBP4,
RPL27A,
SH3GL2,
SLC2A3,
TUBA4A,
XDH,
EHD1,
TOMM34,"Protein import, sorting and homeostasis > Protein import and sorting > TOM"
PTGR1,
DMXL2,
DNAJC13,
CES3,
DPP7,
PACSIN1,
HPCAL4,
TDRD1,
SRPRB,
EFHD2,
CFAP57,
PGP,
SLC27A1,
NT5C1B-RDH14,
CSTF3,
GOLGB1,
TCF20,
OFD1,
ERG28,
MOV10L1,
HYDIN,
WDR19,
RCN1,
STK17B,
DUSP14,
SAMD4A,
PRKD3,
LATS2,
PBRM1,
OLFML3,
PARD6G,
DCAF12L2,
GRAMD2B,
ADSS1,
GPATCH11,
FBP1,
HSD11B1L,
MANF,
TECRL,
EAF2,
VPS25,
INPP4A,
PRORP,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing
AKAP11,
KIAA1522,
TMEM223,
TCHP,
C1ORF194,
C1ORF100,
CFAP77,
ARHGAP1,
CIRBP,
CRY2,
FLII,
HRAS,
ISLR,
NRAS,
MAPK6,
PTPRG,
THOP1,
NUAK1,
YAP1,
RAB40B,
WWTR1,
PLSCR3,Metabolism > Lipid metabolism > Cardiolipin synthesis
RAB40C,
TMBIM1,
SYDE1,
VASN,
RAB12,
GPX8,
FXYD1,
SLC19A1,
EI24,
WBP1,
ANAPC13,
EMCN,
FOCAD,
ANGPTL8,
ILRUN,
TMEM134,
POLR2M,
TMEM120A,
TMEM120B,
NRG4,
CDPF1,
SREK1IP1,
C1QTNF12,
C16ORF74,
C6ORF226,
KTN1,
GOSR2,
CCNH,
TOR3A,
CKMT1B,Metabolism > Nucleotide metabolism > Creatine metabolism
SLX1B,
TRIM48,
CORO7,
FTHL18,
DIRAS3,
POLR2I,
ENTPD4,
PIGY,
NDUFB1,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
TUBG2,
ATP5MGL,
TUBB8,
UQCRHL,
HIGD1C,
TMEM14E,
ATP5MF-PTCD1,0
SYNJ2BP-COX16,
NDUFC2-KCTD14,
ADCY1,
CASP8,"Protein import, sorting and homeostasis > Protein homeostasis | Mitochondrial dynamics and surveillance > Apoptosis"
CDC6,
CTBP1,
DNMT1,
DNTT,
DUSP5,
DUSP7,
NR3C1,
HNRNPL,
ID4,
KIF22,
MAP3K1,
NUDT1,
MYCL,
CDK14,
PPEF1,
PRKCH,
MAPK11,
RAD51C,
RNF4,
RPS6KA1,
RYK,
SIAH1,
SIAH2,
SNTB1,
TAL2,
TBL1X,
TRPC3,
VRK1,
WAS,
CORO2A,
GAS7,
RGS11,
WASL,
HAP1,
SOCS3,
MAP3K6,
PLAA,
CHD1L,
RASGRP1,
TNK2,
CAPN9,
WDR3,
ADAP1,
RNF24,
MLXIP,
FNBP4,
FBXO7,
ULK3,
FBXL6,
GMPR2,
SLC15A3,
CTDSPL2,
DTL,
NUB1,
INPP5K,
DDIT4,
PSPC1,
NUDT15,
FBXW7,
WDR33,
RADIL,
DCAF6,
PRMT8,
TTC7A,
WDR48,
SLC46A2,
CREBZF,
CDK15,
EPS8L3,
DHX40,
SLC35F5,
HASPIN,
STK40,
HORMAD1,
ZMYND12,
TRAF7,
SSH2,
LONRF1,
FBXO17,
LRRC56,
LYSMD3,
SLC24A4,
NOXO1,
RNF38,
TENT2,
WDR90,
ARL13B,
CES5A,
MAPK15,
NWD1,
CERKL,
SHC4,
WDR38,
RNF223,
RNF165,
TCF24,
ACTC1,
ABL1,
ABR,
ADCY5,
PARP4,
AMBP,
AMHR2,
APBA1,
ARHGAP5,
ATP7B,
ATRX,
BBS4,
BCL2L1,Mitochondrial dynamics and surveillance > Apoptosis
CFB,
BTK,
C8G,
CAPN1,
CASP1,
CEL,
CENPE,
CLCN6,
CLCN7,
CPB1,
CPD,
CPE,
CSF1R,
CSNK2A2,
CTRL,
CYP8B1,
DGKQ,
DNAH9,
DYNC1I1,
DSP,
EIF4B,
CTTN,
EPHB3,
ERBB3,
ERCC5,
ERCC6,
F2,
PTK2B,
FER,
FGFR3,
FLT1,
FMO3,
FMR1,
GAK,
GMDS,
GRB2,
GUCY2C,
HMGCS1,
HP,
INSRR,
IRAK1,
ITK,
JAK1,
JAK2,
KIF3C,
KIT,
KLKB1,
LASP1,
LCK,
CD180,
MAP3K10,
MYO1F,
TRIM37,
MYH7,
MYO1D,
MYO5B,
MYO7B,
MYO9A,
NEK1,
NEK2,
NKTR,
NPR1,
ROR1,
OAS1,
ORC1,
ORM1,
PAK2,
PDGFRA,
ENPP3,
PIK3C2A,
PIK3C3,
PLAU,
PLCG1,
PLD1,
PLIN1,
PPID,
PPP5C,
PRKCA,
PRKCD,
PRKCE,
PRKG2,
PRSS1,
PSMA1,
PSMA3,
QSOX1,
RAP2B,
RASGRF1,
RASGRF2,
RBP1,
RHEB,
GRK1,
ROS1,
RYR2,
RYR3,
SDCBP,
SEL1L,
ITSN1,
SHC1,
SMARCA1,
SNRNP70,
SNRPB2,
SPTB,
SREBF2,
STAT1,
STRN,
TEC,
TIAM1,
VAV1,
NSD2,
ZAP70,
TRIM25,
ARHGEF5,
ANP32A,
TTF2,
CDC42BPA,
PPFIA2,
PPFIA1,
DGKD,
PPFIA3,
DNAH11,
RGS9,
LIN7A,
ASAP2,
SYNJ2,
PRPF4B,
HERC2,
HERC1,
EXO1,
MAP3K13,
ARHGEF2,
DLG5,
TSPOAP1,
TRIP10,
GTF3C3,
PPIG,
CDC42BPB,
MICAL2,
PLCH2,
RAPGEF2,
USP34,
IFT140,
ARHGAP32,
SRGAP3,
HUWE1,
FARP1,
PGRMC2,
RBM14,
FBXW10,
NEBL,
OLFM4,
USP16,
TCERG1,
PPM1E,
FRMPD1,
CILK1,
NLGN1,
PLEKHA6,
MAST1,
SV2C,
MYH15,
SPEN,
KIF21B,
ENDOD1,
CUL9,
RAD54L2,
KAZN,
DNMBP,
MGA,
ADGRL3,
KIF13B,
TUT4,
SASH1,
ARHGEF18,
PLA2G15,
KIF4A,
DSTYK,
WHRN,
KIF26A,
RGS22,
FBXO2,
TJP3,
GNMT,
DBNL,
SETD2,
USP25,
NENF,
TAX1BP3,
MINK1,
ITSN2,
MYO15A,
NIN,
CDKL3,
GMIP,
NCKIPSD,
LGSN,
TRIM33,
CDK12,
MYO3A,
NLGN3,
TOLLIP,
PLEKHA5,
HMGCLL1,
ARL15,
AHI1,
SWT1,
DEF8,
SLC35F6,
PHIP,
USP47,
KIF26B,
RBM28,
EXD2,Mitochondrial central dogma > Translation
KIF21A,
AMBRA1,
DEPDC1,
CHD7,
PACS1,
CHFR,
IFT122,
CFAP44,
FGD6,
MYO5C,
SLC17A7,
SLC17A6,
USP31,
SRGAP1,
WDR35,
MICAL3,
NLGN2,
PREX1,
DIP2B,
MYH7B,
PHRF1,
GNB4,
MYO1G,
LIN7B,
TPSB2,
TNS3,
WNK4,
WNK3,
WNK2,
CAMKV,
CARD14,
NSUN7,
TTC21B,
SLTM,
ATAD5,
MAP3K19,
PREX2,
TRIM45,
PABPC1L,
SLC44A4,
GRIP2,
DRC3,
TTC25,
FERMT3,
RBM4B,
SNX25,
ZRANB3,
LRRIQ1,
USP42,
BRSK1,
MYO18B,
FBXL20,
RSPRY1,
SEC11C,
ELFN2,
FHAD1,
LRRK2,
SLC15A4,
SOWAHA,
TTBK2,
CFAP52,
EFHB,
MARCHF10,
KANK4,
TTC24,
DCLK2,
OLFML2A,
FCSK,
TTC21A,
CMYA5,
RTKN2,
DOK6,
LNX2,
MCM9,
WDR72,
SLC9C1,
ARL10,
FBXO43,
TRIM42,
RBM44,
MAST4,
ACTR2,
BAG2,
MRAP,
PGM5,
TATDN2,
CARHSP1,
EIF4E,
COPS5,
DHDH,
COMMD9,
CALCOCO1,
B3GALT6,
TRMT44,
PNLDC1,
MBP,
GNG12,
SRPRA,
CD109,
ANKRD20A1,
ANKRD18A,
ANKRD62,
ANKRD20A3,
ANKRD20A2,
ANKRD20A4,
KRT7,
STX16,
KRT20,
KRT79,
BAIAP3,
OTOF,
DOCK7,
MTHFR,
PEMT,
ABHD15,
NQO2,
POLR2F,
VEGFB,
NAA10,
MTMR2,
SEC24A,
MSL3,
LSM1,
RGCC,
MCTS1,
NOL7,
CDC37L1,
GZF1,
GEMIN7,
NAA60,
PLA2G12A,
CHMP7,
ZSWIM7,
HDDC3,
KRT19,
RPL35A,
UFM1,
FAM193A,
PNRC1,
TMEM39A,
PMEPA1,
IFT74,
ARL6IP6,
RNASEK,
ARPC5L,
SEPTIN7,
AFDN,
NCL,
PRKCSH,
SRL,
SLC12A2,
ST13,
ARPC1B,
ERLIN2,
ZC3H7B,
MACF1,
PSAT1,
AHNAK,
A2M,
ADA,
APRT,
SERPINC1,
CP,
CSTB,
CTSZ,
FLNA,
GPLD1,
GUCA2B,
HEXB,
HPX,
LGALS4,
LYZ,
MANBA,
NAGA,
SERPINA1,
SEMG1,
TCHH,
TPM4,
UBE2V1,
VAMP3,
SEC61B,
SEC61G,
GKN1,
DYNLRB2,
ARMC10,Mitochondrial dynamics and surveillance > Fission | Mitochondrial dynamics and surveillance > Trafficking
C2ORF88,
TXNDC17,
IFT20,
GNG8,
CBY2,
DEFB123,
IRGM,
ZG16,
NME2,
DDX53,
ATP1A2,
ATP6V1C1,
AP2M1,
DPY30,
DGAT1,
PSME4,
NF1,
TRIP4,
YKT6,
ADARB2,
ARL1,
CAPN3,
CASP2,
CCNF,
CDC25C,
CETN2,
CISH,
CLK2,
CRYM,
DYRK1A,
GALK2,
GRB14,
GSK3B,
GUCY2F,
GUCY2D,
ID1,
LLGL2,
MCM4,
MITF,
MTRR,
MYO9B,
PFKFB3,
PGR,
PPEF2,
TLE1,
TLE4,
TPBG,
SLC35A2,
RNF103,
TFEB,
USP11,
NR1I2,
CDC16,
BRSK2,
SH2D2A,
PKMYT1,
SLC24A1,
SLC9A3R2,
HAND1,
AATK,
ARHGEF11,
APPBP2,
KHDRBS1,
CORIN,
SRSF10,
STARD3,
KIF2C,
SOX21,
WDTC1,
AGTPBP1,
FBXO46,
SH3BP1,
PRPF6,
RAD54B,
POC1A,
DCAF4,
TOX3,
TRA2A,
KCNIP1,
METTL9,
DUSP13,
PEX5L,
SF3B6,
HES2,
LRRC49,
ALKBH5,
DUSP23,
DALRD3,
ELP2,
BATF3,
RNPC3,
TRPC7,
SLC24A3,
MRTFA,
RBM25,
RNF123,
CHP2,
NFKBIZ,
MORC4,
MAB21L4,
TTC26,
EEPD1,
GDPD5,
NIPA2,
WDR24,
PARD6B,
TOX2,
UBL7,
EFCAB11,
RSAD2,
MARCHF9,
CEP41,
HELQ,
OSBPL5,
CGAS,
TSR3,
SLC22A12,
OLIG1,
TPH2,
BTBD11,
MIEF2,Mitochondrial dynamics and surveillance > Fission
MFSD12,
FBXO27,
SHE,
ADAD1,
PNCK,
CDC42EP5,
SLC35F3,
TCF23,
WDR49,
NUDT14,
LYSMD2,
EPHA6,
PPIL6,
ANKRD13D,
SLC35B2,
HES3,
ARL13A,
TTC34,
PSMD8,
IST1,
DAAM1,
PARG,
PIGQ,
RAI1,
N4BP3,
MGRN1,
SSBP2,
C1ORF43,
TNFRSF12A,
CRLF3,
FAM118A,
CSRNP1,
FAM160B2,
METRN,
RNF26,
PAGR1,
SNRNP25,
TMEM53,
MANEA,
FAM214B,
VOPP1,
FAM234A,
DTNBP1,
MVB12A,
C10ORF71,
TPRA1,
COPS9,
TMEM161B,
TMEM218,
CCDC169,
FAM160A1,
OGFOD3,
DGAT2,
ASS1,
PIGA,
ADH4,
ADH7,
BCR,
BGN,
BLK,
CHD1,
CHD2,
CHD3,
CHD4,
CPN2,
DHX15,
ECM2,
MARK2,
FKBP1B,
FKBP5,
FMOD,
LRRC32,
GCK,
GP1BA,
GP5,
GPX5,
GPX7,
ARHGAP35,
HNRNPU,
ERAS,
LIG1,
LRCH4,
LUM,
MARK1,
MX1,
NOS1,
OMD,
PIK3R1,
PLSCR1,
POLH,
PRELP,
PRKAA1,
MAPK7,
PTPN6,
PTPRZ1,
RAB27A,
SRSF2,
SLIT1,
SLIT3,
STAC,
STK11,
TLR3,
TLR4,
TLR5,
PCGF2,
RND2,
FKBP6,
LGR5,
RAB29,
RAB33A,
RAB9A,
RBM39,
MELK,
LRIG2,
RBM5,
LRRC23,
PCGF3,
LRRN2,
PPIE,
RNPS1,
RALBP1,
RAB32,
TLK2,
IFT27,
PIM2,
KERA,
NISCH,
SEC23IP,
POLI,
ATXN2L,
FAIM2,
PHLPP2,
SMG1,
TRIM35,
LRCH1,
PHLPP1,
WWC1,
LRRC8B,
SCRIB,
RAB38,
FLRT3,
FLRT2,
FLRT1,
LRIG1,
LRRTM2,
SLITRK5,
USP21,
RND1,
NKIRAS2,
SLC43A3,
PACSIN3,
HUNK,
RNF141,
SH3GLB1,
RAB9B,
GDE1,
CYB5R2,
TLR9,
RHOF,
LRRN3,
RBFOX1,
RAB39A,
TRIM44,
ASPN,
GDPD2,
SNRK,
ARHGAP17,
LRRC8D,
LRRC1,
PIDD1,
ELAC1,
RAB20,
DHX32,
ARHGAP15,
AMIGO1,
LRFN2,
LRRC7,
ISLR2,
LRFN1,
LRCH2,
LRRN1,
USP37,
WDFY4,
TRIB3,
MARK4,
SAV1,
NYX,
YTHDC2,
RTN4R,
LRFN4,
LRFN3,
CEP97,
NAA16,
ARHGAP28,
PODNL1,
WWC2,
LRRTM4,
LRRC8E,
CPEB4,
DDHD1,
LRRC3,
RNF170,
ARHGAP24,
ITCH,
TSSK6,
SYDE2,
NLRC5,
LRRC8C,
PCGF1,
CRACR2A,
LRCH3,
LINGO1,
ARHGAP19,
LRSAM1,
DHX57,
RNF185,
TBCK,
LRRC4B,
ARHGAP12,
SLITRK1,
RAB42,
LRRC58,
TDRD9,
LRR1,
LRRC28,
TRIM43,
SLITRK4,
ABHD12B,
LRFN5,
RNF151,
SIK1,
CHADL,
LINGO2,
DQX1,
TRIM60,
NIM1K,
RNF133,
RNF215,
PIKFYVE,
ARHGAP27,
LRRC55,
GDPD4,
STXBP4,
LRRC57,
RNF149,
RAB43,
LRRC30,
LINGO4,
LRRC66,
ARHGAP40,
SH3RF3,
LRRIQ4,
LRRTM1,
AMIGO2,
RTN4RL2,
NRROS,
LRRC10,
RAB15,
RNF148,
SBK1,
PLSCR5,
LRRC10B,
RAB44,
LRRD1,
RAB19,
LRRC24,
LRRC18,
LINGO3,
NCF1,
LRTM2,
LRRC69,
SBK3,
TPBGL,
COMMD3-BMI1,
BAG1,
POP5,
ANO10,
DEPTOR,
ALOX12,
KCNN2,
NFIA,
TFR2,
TMCC2,
RAB11FIP5,
THG1L,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications
CBWD1,
RPAIN,
CMTM8,
GANC,
PLXND1,
LDLRAP1,
AP5M1,
GOLPH3,0
CDA,
CHMP1A,
RB1CC1,
NCAPD2,
MAPK8IP3,
PARVB,
TPCN1,
NDRG4,
CPTP,
NEURL4,
MAP4,
MB,
RPL21,
IGBP1,
SRP68,
TMEM19,
ZNF598,
PRM3,
SYN2,
SYNGR3,
PIWIL1,
SNAP91,
LAMA2,
PREPL,0
SCARB2,
GRN,
PRKAR1A,
RTN2,
EIF1B,
SNAPIN,
PLSCR2,
ERAP2,
ATP6V1G2,
ATP6V1F,
IL15RA,
MOV10,
NELFA,
BZW1,
PCLAF,
NPM3,
SPAG5,
ZPBP,
TMEM131,
KCNE5,
PEX26,
IQCC,
ZNF839,
TSNAXIP1,
SLC50A1,
AKIP1,
TCIM,
SLC45A4,
NHSL1,
CCDC191,
C6ORF47,
FASTKD3,Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay
CYBC1,
TMEM231,
CCDC15,
MRO,
FAM160A2,
PGAP4,
FAM120B,
CCDC54,
C1ORF198,
CEP89,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
FAM207A,
TMEM250,
BTBD16,
ANAPC16,
IQCK,
FAM131A,
FAM81A,
BEAN1,
EXOC8,
MEI1,
FAM122B,
FAAP20,
KRTCAP3,
TEX47,
ELAPOR2,
TMEM80,
KRTAP11-1,
MCRIP1,
MROH6,
TMEM191C,
DMRTC1B,
POM121C,
FAM47E,
C11ORF91,
FAM240A,
VGF,
TMEM106B,
DENND5B,
CALB1,
CAPNS1,
CDK5,
COPA,
CYP1A2,
CYP2A13,
CYP3A4,
CYP4B1,
EGFR,
HDLBP,
KIF5A,
KRAS,
MYO1B,
NEB,
NUCB1,
NUCB2,
SLC22A18,
PAK1,
PCBP2,
SEPTIN5,
PPIC,
PRKCB,
PTBP1,
RPL4,
SLC2A1,
SLC2A2,
SLC8A2,
SLC8A1,
SPTBN2,
STIM1,
USP5,
FXR1,
RPS6KA5,
COPB2,
SLC9A3R1,
ROCK2,
MPDU1,
SLK,
DNAJC6,
SYNCRIP,
VAT1,
CNKSR2,
SEPTIN8,
AHCYL2,
SEC14L2,
TBL2,
SLCO1B3,
RBM15B,
EHD3,
PCYOX1,
RAPGEF6,
DIRAS2,
SEPTIN3,
SH3GLB2,
TIGAR,
VAT1L,
SPTBN4,
EPS8L2,
EPPK1,
LRRCC1,
ACBD5,
REEP6,
CFAP70,
PLD4,
XRRA1,
LGI3,
TDRD6,
MIA3,
ATP6V1G1,
CNRIP1,
NAPB,
MAD2L1BP,
PALLD,
PARVA,
MAGEE1,
H2AZ2,
PHACTR3,
DCTD,
IMPA2,
CSDE1,
DPP9,
ENO3,
GNAI2,
ASMTL,
ENTPD5,
G6PC,
PTMS,
PYGL,
DDRGK1,
IFRD1,
RAP1GAP2,
ST6GALNAC6,
KANSL3,
PAQR4,
ALDOA,
ARPC4,
SLC35D1,
AMPD3,
CLN3,
ECE1,
KRT4,
KRT12,
KRT35,
KRT85,
PHKA1,
PHKA2,
RAP1GAP,
ATRN,
KRT75,
CACNA2D2,
LAPTM4A,
ATP2C1,
TMEM176B,
SUCO,
ARFGAP1,
CIDEC,
NCAPG,
KRT71,
PLCD3,
DACT2,
KRT27,
SLC1A2,
RPL13,
RPL28,
TNNI2,
ITGB1BP1,
TMEM230,
AIF1L,
RITA1,
C1ORF122,
AMOTL1,
CAMLG,
SYNRG,
WASHC4,
HYPK,
COG6,
KIAA0319L,
CCDC158,
MXRA7,
GYS1,
STAMBPL1,
ABHD17C,
ATP2A2,
GLO1,
SLC4A1,
H6PD,
TKFC,
RPS27L,
GHR,
VLDLR,
MTMR1,
TBC1D4,
AP4S1,
KLF15,
ISOC1,
SAP30L,
PPCS,
MED25,
ELMOD3,
L3HYPDH,
KCP,
NEU3,
AK5,
WDCP,
NXNL2,
MX2,
ARHGAP11B,
SRSF12,
EVI5,
KTI12,
APOA4,
SMC2,
LIMS1,
CDO1,
CDR2,
GCLC,
GYPA,
GYPC,
HGD,
ICAM4,
RP9,
UROS,
GEMIN2,
PSMG1,
KPTN,
CLCC1,
CCNDBP1,
PHLDA3,
CYHR1,
NOSIP,
IFT52,
WDR83OS,
CINP,
GIN1,
TMEM159,
FAM204A,
C17ORF75,
CBLL1,
VMP1,
GUCD1,
ATRIP,
RNASEH2C,
PSMG3,
C7ORF50,
AKT1S1,
UBE3D,
TMEM259,
RPS19BP1,
ZNF830,
C12ORF45,
ADIG,
XIRP1,
CCDC107,
PAXX,
CCDC18,
TMEM82,
MFSD2B,
BORCS8,
C17ORF99,
SMLR1,
RRM2B,
ADD2,
GRIK2,
SLC5A1,
ARFGEF1,
POLR3A,
ALG5,
POLR3B,
ALG2,
PGM2L1,
IQSEC3,
TAGLN2,
AOC1,
ACP1,
APOC1,
ARHGDIB,
ATP4B,
CBLN1,
CGA,
CLPS,
CST3,
DNASE2,
DPP4,
DPYSL3,
FUCA1,
G6PD,
GBA,
GH1,
GMFB,
GNG3,
GNG7,
SFN,
GSN,
KRT14,
LBP,
LGALS3BP,
LRP2,
EPCAM,
MARCKS,
MAP2,
MFGE8,
SNU13,
PNP,
SERPINE1,
PF4,
SERPINB6,
PITPNA,
PNLIP,
PPP1CA,
PRCP,
PRF1,
PSME1,
PTMA,
RNASE3,
RPL29,
RPL32,
CLIP1,
S100A5,
SELENOW,
SGSH,
SKP1,
TBCA,
THBS1,
UBE2V2,
UGT2B4,
DNALI1,
AP3B2,
STX7,
AP3B1,
VAMP4,
AP3D1,
PGLYRP1,
PAPSS2,
STX8,
GDA,
NAALADL1,
ARPC2,
NUTF2,
TCIRG1,
RTN3,
ATP8A1,
STMN2,
GABARAPL2,
MAN2B2,
RPL36,
AP3M1,
RSPH14,
CHIA,
SULT1B1,
TMA7,
SPA17,
GNG2,
CCDC40,
ARMC4,
DNAH7,
RETN,
SCPEP1,
VKORC1,
SGIP1,
RSPH1,
CYGB,
SAXO1,
GKN2,
RSPH9,
DEFB119,
BLOC1S2,
SYCN,
NPM1,
TPD52L2,
NAPG,
NAPA,
CKAP4,
TMEM109,
SRCIN1,
GPAT2,Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Lipid metabolism > Phospholipid metabolism
SYN1,
C7ORF25,
CCM2,
CUL2,
HAAO,
ABHD14A,
ALG9,
JAGN1,
LGALS12,
CENPW,
NBR1,Mitochondrial dynamics and surveillance > Autophagy
MAN2C1,
PSMD3,
PSMD12,
PSMD13,
SELENOP,
TALDO1,
CACNA1H,
CD163,
UBE4A,
CEBPZ,
PRG3,
TMED3,
TNPO3,
ZKSCAN5,
ORMDL2,
VPS28,
BSDC1,
UBE2O,
MMS19,
FYCO1,
COL18A1,
TRAPPC9,
PKHD1L1,
PM20D2,
DAB2IP,
NAP1L4,
BAG6,
SCFD2,
